,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,788611420,Google pixel 4 XL unlocked new,540,Open box (never used),New Google pixel 4 XLUNLOCKED NO SCRATCHES OR CRACKSPHONE ONLYPICK UP FIRST COME FIRST SERVE,4,Local pickup (18 miles away),No shipping INFO!,18.0,,,"Chula Vista, CA",Chula Vista, CA,3 days 
1,789716367,"Google Pixel 4 XL (64GB) ""VERIZON""",500,New (never used),"New Google Pixel 4 XL (64 GB)No Trades Serious Buyers OnlyPhone Cost $700 Online Everywhere, I'm Asking $200 Below Retail.(Verizon Carrier)$500 ",4,No delivery INFO!,"Ships from Hesperia, CA for $7.49",,"Hesperia, CA",7.49,"Hesperia, CA",Hesperia, CA,1 day 
2,777775621,LG G8 Unlocked trade for Pixel XL 3,350,New (never used),Looking to trade/sell my basically brand new G8 factory unlocked for Google Pixel XL 3 or 4.Phone is paid off full and I'm the original owner. Thanks. ,1,No delivery INFO!,"Ships from Chandler, AZ for $7.49",,"Chandler, AZ",7.49,"Chandler, AZ",Chandler, AZ,3 weeks 
3,788006430,Google pixel 4,500,Open box (never used),"Pixel 4, ATT, 64 gig. Comes with case and screen protector ",2,Local pickup (12 miles away),No shipping INFO!,12.0,,,"Coronado, CA",Coronado, CA,4 days 
4,790266151,Brand New Google Pixel 4 Phone!,450,New (never used),Back on market. Buyer didnt come through. Tangerine color and great features.,5,No delivery INFO!,"Ships from Lancaster, OH for $3.29",,"Lancaster, OH",3.29,"Lancaster, OH",Lancaster, OH,3 hours 
5,782353950,Google Pixel 4,750,Open box (never used),"Pixel 4, just like new just play with it for a couple days and put it back to the box No scratches, no dents, bought it for 899.99 T-mobile service only",4,Local pickup (26 miles away),No shipping INFO!,26.0,,,"Escondido, CA",Escondido, CA,2 weeks 
6,789992184,Google Pixel 3a BRAND NEW,380,Used (normal wear),Brand New Open-Box Google Pixel 3a has glass screen protector on. Comes with 4 year protection plan and 3 cases. All original packaging. Selling for the price of the phone so technically cases are free $380 OBO Delivery available depending on location,10,No delivery INFO!,"Ships from Los Angeles, CA for $7.49",,"Los Angeles, CA",7.49,"Los Angeles, CA",Los Angeles, CA,11 hours 
7,781688979,Google Pixel 3 Brand new,300,Open box (never used),"1. Brand New Google Pixel 3. 2. 64 gb.3. Has the best Camera you can ever ask for in a phone.4. Unlocked phone.5. Amazing touch response, camera and disolay6. Unlimited photo video Storage with google .7. Phone onlyCondition: Like new",11,No delivery INFO!,"Ships from El Cerrito, CA for $7.49",,"El Cerrito, CA",7.49,"El Cerrito, CA",El Cerrito, CA,2 weeks 
8,787880702,Google pixel 4,280,Used (normal wear),Used still new u locked to any carrier came from At&t will ship,3,No delivery INFO!,"Ships from Boston, MA for $3.29",,"Boston, MA",3.29,"Boston, MA",Boston, MA,5 days 
10,766222635,Pixel 3 XL - 64GB Unlocked Google phone 📱,400,Used (normal wear),"This Google Pixel 3 XL is in great condition. No scratches, never been dropped. Works perfectly fine with no issues. It's like new and only getting rid of it because I have the new Pixel 4 XL now. No trades, thanks",7,No delivery INFO!,"Ships from Hillsboro, OR for $7.49",,"Hillsboro, OR",7.49,"Hillsboro, OR",Hillsboro, OR,1 month 
